"tconst"	"titleType"	"primaryTitle"	"originalTitle"	"isAdult"	"startYear"	"endYear"	"runtimeMinutes"	"genres"	"averageRating"	"numVotes"
"27663"	"tt0028141"	"movie"	"The Prisoner of Shark Island"	"The Prisoner of Shark Island"	0	1936	"\N"	"96"	"Biography,Drama,History"	7.3	1767
"27689"	"tt0028167"	"movie"	"Rembrandt"	"Rembrandt"	0	1936	"\N"	"85"	"Biography,Drama"	7.2	1421
"27721"	"tt0028201"	"movie"	"The Story of a Cheat"	"Le roman d'un tricheur"	0	1936	"\N"	"81"	"Comedy"	7.6	1609
"27722"	"tt0028203"	"movie"	"Romeo and Juliet"	"Romeo and Juliet"	0	1936	"\N"	"125"	"Drama,Romance"	6.7	1535
"27726"	"tt0028207"	"movie"	"Rose-Marie"	"Rose-Marie"	0	1936	"\N"	"113"	"Adventure,Drama,Musical"	7.1	1065
"27731"	"tt0028212"	"movie"	"Sabotage"	"Sabotage"	0	1936	"\N"	"76"	"Thriller"	7.1	13111
"27735"	"tt0028216"	"movie"	"San Francisco"	"San Francisco"	0	1936	"\N"	"115"	"Drama,Musical,Romance"	7.3	4489
"27738"	"tt0028219"	"movie"	"Satan Met a Lady"	"Satan Met a Lady"	0	1936	"\N"	"74"	"Comedy,Crime,Mystery"	6.2	1621
"27750"	"tt0028231"	"movie"	"Secret Agent"	"Secret Agent"	0	1936	"\N"	"86"	"Mystery,Thriller"	6.6	7111
"27768"	"tt0028249"	"movie"	"Show Boat"	"Show Boat"	0	1936	"\N"	"113"	"Comedy,Drama,Musical"	7.6	2553
"27832"	"tt0028313"	"movie"	"The Story of Louis Pasteur"	"The Story of Louis Pasteur"	0	1936	"\N"	"86"	"Biography,Drama,History"	7.4	1966
"27834"	"tt0028315"	"movie"	"Stowaway"	"Stowaway"	0	1936	"\N"	"87"	"Adventure,Family,Musical"	7.1	1104
"27849"	"tt0028330"	"movie"	"Suzy"	"Suzy"	0	1936	"\N"	"93"	"Drama"	6.5	1125
"27852"	"tt0028333"	"movie"	"Swing Time"	"Swing Time"	0	1936	"\N"	"103"	"Comedy,Musical,Romance"	7.6	10893
"27863"	"tt0028345"	"movie"	"Tarzan Escapes"	"Tarzan Escapes"	0	1936	"\N"	"89"	"Action,Adventure"	6.9	2939
"27873"	"tt0028355"	"movie"	"Theodora Goes Wild"	"Theodora Goes Wild"	0	1936	"\N"	"94"	"Comedy,Romance"	7.3	1945
"27874"	"tt0028356"	"movie"	"These Three"	"These Three"	0	1936	"\N"	"93"	"Drama,Romance"	7.6	2027
"27876"	"tt0028358"	"movie"	"Things to Come"	"Things to Come"	0	1936	"\N"	"100"	"Drama,Sci-Fi,War"	6.7	6238
"27891"	"tt0028373"	"movie"	"Three Smart Girls"	"Three Smart Girls"	0	1936	"\N"	"84"	"Comedy,Musical,Romance"	6.8	1075
"27994"	"tt0028478"	"movie"	"The Walking Dead"	"The Walking Dead"	0	1936	"\N"	"66"	"Crime,Horror,Sci-Fi"	6.8	2071
"28021"	"tt0028505"	"movie"	"Wife vs. Secretary"	"Wife vs. Secretary"	0	1936	"\N"	"88"	"Comedy,Drama,Romance"	7.1	2788
"28089"	"tt0028575"	"movie"	"Angel"	"Angel"	0	1937	"\N"	"91"	"Comedy,Drama,Romance"	7.3	1889
"28111"	"tt0028597"	"movie"	"The Awful Truth"	"The Awful Truth"	0	1937	"\N"	"90"	"Comedy,Romance"	7.9	16038
"28194"	"tt0028683"	"movie"	"Camille"	"Camille"	0	1936	"\N"	"109"	"Drama,Romance"	7.5	6597
"28202"	"tt0028691"	"movie"	"Captains Courageous"	"Captains Courageous"	0	1937	"\N"	"117"	"Adventure,Drama,Family"	8	7872
"28218"	"tt0028707"	"movie"	"Charlie Chan at Monte Carlo"	"Charlie Chan at Monte Carlo"	0	1937	"\N"	"72"	"Comedy,Crime,Mystery"	7.3	1236
"28219"	"tt0028708"	"movie"	"Charlie Chan at the Olympics"	"Charlie Chan at the Olympics"	0	1937	"\N"	"71"	"Comedy,Crime,Mystery"	7.5	1380
"28220"	"tt0028709"	"movie"	"Charlie Chan on Broadway"	"Charlie Chan on Broadway"	0	1937	"\N"	"68"	"Comedy,Crime,Mystery"	7.6	1210
"28250"	"tt0028739"	"movie"	"Conquest"	"Conquest"	0	1937	"\N"	"113"	"Drama,History,Romance"	6.7	1215
"28268"	"tt0028757"	"movie"	"A Damsel in Distress"	"A Damsel in Distress"	0	1937	"\N"	"101"	"Comedy,Music,Romance"	6.9	1595
"28283"	"tt0028772"	"movie"	"A Day at the Races"	"A Day at the Races"	0	1937	"\N"	"111"	"Comedy,Musical,Sport"	7.7	12055
"28284"	"tt0028773"	"movie"	"Dead End"	"Dead End"	0	1937	"\N"	"93"	"Crime,Drama,Film-Noir"	7.4	5437
"28315"	"tt0028804"	"movie"	"Double Wedding"	"Double Wedding"	0	1937	"\N"	"87"	"Comedy,Romance"	7.1	1662
"28327"	"tt0028816"	"movie"	"Easy Living"	"Easy Living"	0	1937	"\N"	"88"	"Comedy,Romance"	7.7	2578
"28329"	"tt0028818"	"movie"	"The Edge of the World"	"The Edge of the World"	0	1937	"\N"	"81"	"Drama,History,Romance"	7.4	1495
"28353"	"tt0028842"	"movie"	"Ever Since Eve"	"Ever Since Eve"	0	1937	"\N"	"80"	"Comedy,Romance"	7.7	1270
"28383"	"tt0028872"	"movie"	"Fire Over England"	"Fire Over England"	0	1937	"\N"	"92"	"Adventure,History,Romance"	6.6	1465
"28455"	"tt0028944"	"movie"	"The Good Earth"	"The Good Earth"	0	1937	"\N"	"138"	"Drama,Romance"	7.7	4101
"28461"	"tt0028950"	"movie"	"La Grande Illusion"	"La grande illusion"	0	1937	"\N"	"113"	"Drama,War"	8.1	30873
"28497"	"tt0028988"	"movie"	"Heidi"	"Heidi"	0	1937	"\N"	"88"	"Drama,Family,Musical"	7.3	3676
"28511"	"tt0029002"	"movie"	"History Is Made at Night"	"History Is Made at Night"	0	1937	"\N"	"97"	"Drama,Romance"	7.5	1304
"28538"	"tt0029030"	"movie"	"The Hurricane"	"The Hurricane"	0	1937	"\N"	"110"	"Action,Drama,Romance"	7.3	2114
"28555"	"tt0029047"	"movie"	"In Old Chicago"	"In Old Chicago"	0	1938	"\N"	"95"	"Action,Drama,Musical"	6.9	1893
"28566"	"tt0029058"	"movie"	"It's Love I'm After"	"It's Love I'm After"	0	1937	"\N"	"90"	"Comedy"	7.7	1765
"28588"	"tt0029080"	"movie"	"Kid Galahad"	"Kid Galahad"	0	1937	"\N"	"102"	"Crime,Drama,Romance"	7.3	2637
"28595"	"tt0029087"	"movie"	"Knight Without Armor"	"Knight Without Armour"	0	1937	"\N"	"107"	"Adventure,Drama,History"	6.8	1053
"28626"	"tt0029118"	"movie"	"The Last Gangster"	"The Last Gangster"	0	1937	"\N"	"81"	"Crime,Drama,Thriller"	6.8	1160
"28654"	"tt0029146"	"movie"	"The Life of Emile Zola"	"The Life of Emile Zola"	0	1937	"\N"	"116"	"Biography,Drama"	7.3	6220
"28670"	"tt0029162"	"movie"	"Lost Horizon"	"Lost Horizon"	0	1937	"\N"	"132"	"Adventure,Drama,Fantasy"	7.8	11077
"28699"	"tt0029192"	"movie"	"Make Way for Tomorrow"	"Make Way for Tomorrow"	0	1937	"\N"	"91"	"Comedy,Drama,Romance"	8.2	6350
"28708"	"tt0029201"	"movie"	"The Man Who Could Work Miracles"	"The Man Who Could Work Miracles"	0	1936	"\N"	"82"	"Comedy,Fantasy"	7.1	1171
"28724"	"tt0029217"	"movie"	"Marked Woman"	"Marked Woman"	0	1937	"\N"	"96"	"Crime,Film-Noir,Thriller"	7.3	2929
"28791"	"tt0029284"	"movie"	"My Favorite Wife"	"My Favorite Wife"	0	1940	"\N"	"88"	"Comedy,Romance"	7.4	8367
"28817"	"tt0029310"	"movie"	"Night Must Fall"	"Night Must Fall"	0	1937	"\N"	"116"	"Drama,Mystery,Thriller"	7.3	1925
"28821"	"tt0029314"	"movie"	"Humanity and Paper Balloons"	"Ninjô kami fûsen"	0	1937	"\N"	"86"	"Drama"	7.8	1533
"28829"	"tt0029322"	"movie"	"Nothing Sacred"	"Nothing Sacred"	0	1937	"\N"	"77"	"Comedy,Drama,Romance"	7.3	5371
"28842"	"tt0029335"	"movie"	"Oh, Mr. Porter!"	"Oh, Mr. Porter!"	0	1937	"\N"	"85"	"Comedy"	7.7	1494
"28947"	"tt0029440"	"movie"	"The Prince and the Pauper"	"The Prince and the Pauper"	0	1937	"\N"	"118"	"Adventure,Drama,Family"	7.3	2159
"28949"	"tt0029442"	"movie"	"The Prisoner of Zenda"	"The Prisoner of Zenda"	0	1937	"\N"	"101"	"Adventure,Drama,Romance"	7.7	3840
"28959"	"tt0029453"	"movie"	"Pépé le Moko"	"Pépé le Moko"	0	1937	"\N"	"94"	"Crime,Drama,Romance"	7.7	5601
"29017"	"tt0029511"	"movie"	"San Quentin"	"San Quentin"	0	1937	"\N"	"70"	"Crime,Drama,Film-Noir"	6.6	1526
"29022"	"tt0029516"	"movie"	"Saratoga"	"Saratoga"	0	1937	"\N"	"92"	"Comedy,Drama,Romance"	6.6	1337
"29052"	"tt0029546"	"movie"	"Shall We Dance"	"Shall We Dance"	0	1937	"\N"	"109"	"Comedy,Musical,Romance"	7.6	5931
"29088"	"tt0029583"	"movie"	"Snow White and the Seven Dwarfs"	"Snow White and the Seven Dwarfs"	0	1937	"\N"	"83"	"Animation,Family,Fantasy"	7.6	162859
"29107"	"tt0029604"	"movie"	"Stage Door"	"Stage Door"	0	1937	"\N"	"92"	"Comedy,Drama"	7.8	6931
"29109"	"tt0029606"	"movie"	"A Star Is Born"	"A Star Is Born"	0	1937	"\N"	"111"	"Drama"	7.6	7521
"29111"	"tt0029608"	"movie"	"Stella Dallas"	"Stella Dallas"	0	1937	"\N"	"106"	"Drama,Romance"	7.5	4062
"29152"	"tt0029650"	"movie"	"That Certain Woman"	"That Certain Woman"	0	1937	"\N"	"93"	"Drama,Romance"	7	1139
"29160"	"tt0029658"	"movie"	"They Won't Forget"	"They Won't Forget"	0	1937	"\N"	"95"	"Drama,Film-Noir,Mystery"	7.4	1332
"29182"	"tt0029682"	"movie"	"Topper"	"Topper"	0	1937	"\N"	"97"	"Comedy,Fantasy,Romance"	7.4	6129
"29195"	"tt0029695"	"movie"	"True Confession"	"True Confession"	0	1937	"\N"	"85"	"Comedy,Crime"	7.4	1200
"29246"	"tt0029747"	"movie"	"Way Out West"	"Way Out West"	0	1937	"\N"	"65"	"Comedy,Family,Western"	7.7	6920
"29250"	"tt0029751"	"movie"	"Wee Willie Winkie"	"Wee Willie Winkie"	0	1937	"\N"	"100"	"Adventure,Family"	7.1	1236
"29306"	"tt0029808"	"movie"	"You Only Live Once"	"You Only Live Once"	0	1937	"\N"	"86"	"Crime,Drama,Film-Noir"	7.4	4866
"29309"	"tt0029811"	"movie"	"Young and Innocent"	"Young and Innocent"	0	1937	"\N"	"80"	"Crime,Mystery,Romance"	7	7714
"29341"	"tt0029843"	"movie"	"The Adventures of Robin Hood"	"The Adventures of Robin Hood"	0	1938	"\N"	"102"	"Action,Adventure,Romance"	8	43676
"29342"	"tt0029844"	"movie"	"The Adventures of Tom Sawyer"	"The Adventures of Tom Sawyer"	0	1938	"\N"	"91"	"Adventure,Drama,Family"	7.2	1539
"29348"	"tt0029850"	"movie"	"Alexander Nevsky"	"Aleksandr Nevskiy"	0	1938	"\N"	"112"	"Action,Biography,Drama"	7.7	9577
"29350"	"tt0029852"	"movie"	"Alexander's Ragtime Band"	"Alexander's Ragtime Band"	0	1938	"\N"	"106"	"Drama,Musical,Romance"	7	1731
"29353"	"tt0029855"	"movie"	"Algiers"	"Algiers"	0	1938	"\N"	"96"	"Drama,Mystery,Romance"	6.8	2164
"29362"	"tt0029864"	"movie"	"The Amazing Dr. Clitterhouse"	"The Amazing Dr. Clitterhouse"	0	1938	"\N"	"87"	"Crime,Drama"	7	2012
"29368"	"tt0029870"	"movie"	"Angels with Dirty Faces"	"Angels with Dirty Faces"	0	1938	"\N"	"97"	"Crime,Drama,Film-Noir"	7.9	18265
"29419"	"tt0029923"	"movie"	"Block-Heads"	"Block-Heads"	0	1938	"\N"	"57"	"Comedy,War"	7.7	3054
"29425"	"tt0029929"	"movie"	"Bluebeard's Eighth Wife"	"Bluebeard's Eighth Wife"	0	1938	"\N"	"85"	"Comedy,Romance"	7.3	2766
"29438"	"tt0029942"	"movie"	"Boys Town"	"Boys Town"	0	1938	"\N"	"96"	"Biography,Drama"	7.3	4728
"29443"	"tt0029947"	"movie"	"Bringing Up Baby"	"Bringing Up Baby"	0	1938	"\N"	"102"	"Comedy,Family,Romance"	8	50782
"29453"	"tt0029957"	"movie"	"La Bête Humaine"	"La bête humaine"	0	1938	"\N"	"100"	"Crime,Drama"	7.7	6025
"29467"	"tt0029971"	"movie"	"Carefree"	"Carefree"	0	1938	"\N"	"83"	"Comedy,Musical,Romance"	7.1	2960
"29480"	"tt0029984"	"movie"	"Charlie Chan in Honolulu"	"Charlie Chan in Honolulu"	0	1938	"\N"	"67"	"Comedy,Crime,Horror"	7.2	1390
"29488"	"tt0029992"	"movie"	"A Christmas Carol"	"A Christmas Carol"	0	1938	"\N"	"69"	"Drama,Family,Fantasy"	7.5	5471
"29491"	"tt0029995"	"movie"	"The Citadel"	"The Citadel"	0	1938	"\N"	"110"	"Drama"	7.2	1669
"29514"	"tt0030018"	"movie"	"The Cowboy and the Lady"	"The Cowboy and the Lady"	0	1938	"\N"	"91"	"Comedy,Drama,Romance"	6.7	1095
"29539"	"tt0030044"	"movie"	"The Dawn Patrol"	"The Dawn Patrol"	0	1938	"\N"	"103"	"Drama,War"	7.6	2446
"29558"	"tt0030063"	"movie"	"The Divorce of Lady X"	"The Divorce of Lady X"	0	1938	"\N"	"92"	"Comedy,Drama,Romance"	6.8	1100
"29621"	"tt0030127"	"movie"	"The Baker's Wife"	"La femme du boulanger"	0	1938	"\N"	"133"	"Comedy,Drama"	7.5	1433
"29642"	"tt0030149"	"movie"	"Four Daughters"	"Four Daughters"	0	1938	"\N"	"90"	"Drama,Music,Romance"	7	1553
"29732"	"tt0030241"	"movie"	"Holiday"	"Holiday"	0	1938	"\N"	"95"	"Comedy,Romance"	7.8	12829
"29743"	"tt0030252"	"movie"	"Hotel du Nord"	"Hôtel du Nord"	0	1938	"\N"	"95"	"Drama,Romance"	7.8	1917
"29778"	"tt0030287"	"movie"	"Jezebel"	"Jezebel"	0	1938	"\N"	"104"	"Drama,Romance"	7.6	10602
"29829"	"tt0030341"	"movie"	"The Lady Vanishes"	"The Lady Vanishes"	0	1938	"\N"	"96"	"Mystery,Thriller"	7.9	42413
"29873"	"tt0030386"	"movie"	"Love Finds Andy Hardy"	"Love Finds Andy Hardy"	0	1938	"\N"	"91"	"Comedy,Romance"	6.9	1469
"29882"	"tt0030396"	"movie"	"The Mad Miss Manton"	"The Mad Miss Manton"	0	1938	"\N"	"80"	"Comedy,Crime,Mystery"	6.9	1817
"29903"	"tt0030418"	"movie"	"Marie Antoinette"	"Marie Antoinette"	0	1938	"\N"	"149"	"Biography,Drama,History"	7.6	2432
"29925"	"tt0030442"	"movie"	"Merrily We Live"	"Merrily We Live"	0	1938	"\N"	"95"	"Comedy,Romance"	7.4	1356
"30005"	"tt0030522"	"movie"	"Olympia Part One: Festival of the Nations"	"Olympia 1. Teil - Fest der Völker"	0	1938	"\N"	"121"	"Documentary,Sport"	8	3919
"30006"	"tt0030523"	"movie"	"Olympia Part Two: Festival of Beauty"	"Olympia 2. Teil - Fest der Schönheit"	0	1938	"\N"	"96"	"Documentary,Sport"	7.9	3275
"30118"	"tt0030637"	"movie"	"Pygmalion"	"Pygmalion"	0	1938	"\N"	"96"	"Comedy,Drama,Romance"	7.9	7099
"30123"	"tt0030643"	"movie"	"Port of Shadows"	"Le quai des brumes"	0	1938	"\N"	"91"	"Crime,Drama,Romance"	7.7	7341
"30137"	"tt0030657"	"movie"	"Rebecca of Sunnybrook Farm"	"Rebecca of Sunnybrook Farm"	0	1938	"\N"	"81"	"Comedy,Drama,Family"	7.1	1246
"30175"	"tt0030696"	"movie"	"Room Service"	"Room Service"	0	1938	"\N"	"78"	"Comedy"	6.8	4363
"30223"	"tt0030744"	"movie"	"The Shopworn Angel"	"The Shopworn Angel"	0	1938	"\N"	"85"	"Drama,Romance,War"	7.1	1251
"30224"	"tt0030746"	"movie"	"Sidewalks of London"	"St. Martin's Lane"	0	1938	"\N"	"85"	"Comedy"	7.1	1019
"30233"	"tt0030755"	"movie"	"The Sisters"	"The Sisters"	0	1938	"\N"	"99"	"Drama"	7.1	1558
"30240"	"tt0030764"	"movie"	"A Slight Case of Murder"	"A Slight Case of Murder"	0	1938	"\N"	"85"	"Comedy,Crime"	7.1	1674
"30299"	"tt0030824"	"movie"	"Swiss Miss"	"Swiss Miss"	0	1938	"\N"	"73"	"Comedy,Musical"	6.7	1657
"30323"	"tt0030848"	"movie"	"Test Pilot"	"Test Pilot"	0	1938	"\N"	"119"	"Drama,Romance"	6.9	1929
"30340"	"tt0030865"	"movie"	"Three Comrades"	"Three Comrades"	0	1938	"\N"	"98"	"Drama,Romance"	7.4	1486
"30353"	"tt0030879"	"movie"	"Too Hot to Handle"	"Too Hot to Handle"	0	1938	"\N"	"107"	"Adventure,Comedy,Drama"	6.8	1256
"30416"	"tt0030944"	"movie"	"Vivacious Lady"	"Vivacious Lady"	0	1938	"\N"	"90"	"Comedy,Romance"	7.3	2843
"30465"	"tt0030993"	"movie"	"You Can't Take It with You"	"You Can't Take It with You"	0	1938	"\N"	"126"	"Comedy,Drama,Romance"	8	21103
"30474"	"tt0031002"	"movie"	"The Young in Heart"	"The Young in Heart"	0	1938	"\N"	"90"	"Comedy,Drama"	7.4	1106
"30493"	"tt0031022"	"movie"	"The Adventures of Sherlock Holmes"	"The Adventures of Sherlock Holmes"	0	1939	"\N"	"85"	"Crime,Mystery,Thriller"	7.5	5639
"30503"	"tt0031033"	"movie"	"Allegheny Uprising"	"Allegheny Uprising"	0	1939	"\N"	"81"	"Adventure,History,Western"	6.4	1418
"30517"	"tt0031047"	"movie"	"Another Thin Man"	"Another Thin Man"	0	1939	"\N"	"103"	"Comedy,Crime,Mystery"	7.5	5789
"30529"	"tt0031060"	"movie"	"At the Circus"	"At the Circus"	0	1939	"\N"	"87"	"Comedy,Musical"	6.9	5100
"30535"	"tt0031066"	"movie"	"Babes in Arms"	"Babes in Arms"	0	1939	"\N"	"94"	"Comedy,Musical"	6.5	2069
"30536"	"tt0031067"	"movie"	"Bachelor Mother"	"Bachelor Mother"	0	1939	"\N"	"82"	"Comedy,Romance"	7.6	3251
"30557"	"tt0031088"	"movie"	"Beau Geste"	"Beau Geste"	0	1939	"\N"	"112"	"Action,Adventure,Drama"	7.8	4946
"30612"	"tt0031143"	"movie"	"The Cat and the Canary"	"The Cat and the Canary"	0	1939	"\N"	"72"	"Comedy,Horror,Mystery"	7.3	2284
"30616"	"tt0031147"	"movie"	"Charlie Chan at Treasure Island"	"Charlie Chan at Treasure Island"	0	1939	"\N"	"74"	"Comedy,Crime,Horror"	7.6	1422
"30617"	"tt0031148"	"movie"	"City in Darkness"	"City in Darkness"	0	1939	"\N"	"75"	"Drama,Mystery,Thriller"	7.2	1060
"30618"	"tt0031149"	"movie"	"Charlie Chan in Reno"	"Charlie Chan in Reno"	0	1939	"\N"	"71"	"Crime,Drama,Mystery"	7.6	1154
"30642"	"tt0031173"	"movie"	"Confessions of a Nazi Spy"	"Confessions of a Nazi Spy"	0	1939	"\N"	"104"	"Drama,War"	6.8	1259
"30678"	"tt0031210"	"movie"	"Dark Victory"	"Dark Victory"	0	1939	"\N"	"104"	"Drama,Romance"	7.6	8835
"30693"	"tt0031225"	"movie"	"Destry Rides Again"	"Destry Rides Again"	0	1939	"\N"	"95"	"Comedy,Western"	7.7	9085
"30701"	"tt0031235"	"movie"	"Dodge City"	"Dodge City"	0	1939	"\N"	"104"	"Western"	7.2	4048
"30718"	"tt0031252"	"movie"	"Drums Along the Mohawk"	"Drums Along the Mohawk"	0	1939	"\N"	"104"	"Drama,History,Romance"	7.2	5042
"30726"	"tt0031260"	"movie"	"Each Dawn I Die"	"Each Dawn I Die"	0	1939	"\N"	"92"	"Crime,Drama,Film-Noir"	7.3	2515
"30768"	"tt0031302"	"movie"	"5th Ave Girl"	"5th Ave Girl"	0	1939	"\N"	"83"	"Comedy,Romance"	6.9	1145
"30779"	"tt0031314"	"movie"	"Five Came Back"	"Five Came Back"	0	1939	"\N"	"75"	"Adventure,Drama,Thriller"	7.1	1588
"30787"	"tt0031322"	"movie"	"The Flying Deuces"	"The Flying Deuces"	0	1939	"\N"	"69"	"Comedy,War"	6.9	4201
"30798"	"tt0031334"	"movie"	"The Four Feathers"	"The Four Feathers"	0	1939	"\N"	"129"	"Adventure,Drama,Romance"	7.6	5034
"30823"	"tt0031359"	"movie"	"Gaslight"	"Gaslight"	0	1940	"\N"	"84"	"Thriller"	7.4	3196
"30841"	"tt0031377"	"movie"	"Golden Boy"	"Golden Boy"	0	1939	"\N"	"99"	"Drama,Romance,Sport"	6.9	1589
"30845"	"tt0031381"	"movie"	"Gone with the Wind"	"Gone with the Wind"	0	1939	"\N"	"238"	"Drama,History,Romance"	8.2	262302
"30849"	"tt0031385"	"movie"	"Goodbye, Mr. Chips"	"Goodbye, Mr. Chips"	0	1939	"\N"	"114"	"Drama,Romance"	7.8	8920
"30861"	"tt0031397"	"movie"	"Gulliver's Travels"	"Gulliver's Travels"	0	1939	"\N"	"76"	"Adventure,Animation,Comedy"	6.7	3391
"30862"	"tt0031398"	"movie"	"Gunga Din"	"Gunga Din"	0	1939	"\N"	"117"	"Adventure,Comedy,War"	7.4	10086
"30909"	"tt0031448"	"movie"	"The Hound of the Baskervilles"	"The Hound of the Baskervilles"	0	1939	"\N"	"80"	"Horror,Mystery,Thriller"	7.6	8504
"30916"	"tt0031455"	"movie"	"The Hunchback of Notre Dame"	"The Hunchback of Notre Dame"	0	1939	"\N"	"117"	"Drama,Horror,Romance"	7.9	9271
"30934"	"tt0031473"	"movie"	"Idiot's Delight"	"Idiot's Delight"	0	1939	"\N"	"107"	"Comedy,Drama,Musical"	6.6	1143
"30938"	"tt0031477"	"movie"	"In Name Only"	"In Name Only"	0	1939	"\N"	"94"	"Drama,Romance"	7.2	2331
"30952"	"tt0031491"	"movie"	"Intermezzo"	"Intermezzo: A Love Story"	0	1939	"\N"	"70"	"Drama,Romance"	6.8	2054
"30961"	"tt0031500"	"movie"	"It's a Wonderful World"	"It's a Wonderful World"	0	1939	"\N"	"86"	"Comedy,Crime,Mystery"	7.1	2254
"30966"	"tt0031505"	"movie"	"Jamaica Inn"	"Jamaica Inn"	0	1939	"\N"	"108"	"Adventure,Crime"	6.4	7933
"30968"	"tt0031507"	"movie"	"Jesse James"	"Jesse James"	0	1939	"\N"	"106"	"Biography,Crime,Drama"	7.1	3578
"30975"	"tt0031514"	"movie"	"Le Jour Se Leve"	"Le jour se lève"	0	1939	"\N"	"93"	"Crime,Drama,Romance"	7.8	5857
"30977"	"tt0031516"	"movie"	"Juarez"	"Juarez"	0	1939	"\N"	"125"	"Biography,Drama,History"	7.3	1723
"31041"	"tt0031580"	"movie"	"The Little Princess"	"The Little Princess"	0	1939	"\N"	"93"	"Comedy,Drama,Family"	7.3	5046
"31054"	"tt0031593"	"movie"	"Love Affair"	"Love Affair"	0	1939	"\N"	"88"	"Comedy,Drama,Romance"	7.3	3834
"31063"	"tt0031602"	"movie"	"Made for Each Other"	"Made for Each Other"	0	1939	"\N"	"92"	"Comedy,Drama,Romance"	6.5	2894
"31075"	"tt0031614"	"movie"	"The Man They Could Not Hang"	"The Man They Could Not Hang"	0	1939	"\N"	"64"	"Crime,Horror,Sci-Fi"	6.9	1228
"31079"	"tt0031619"	"movie"	"The Man in the Iron Mask"	"The Man in the Iron Mask"	0	1939	"\N"	"113"	"Adventure,History,Romance"	7.2	1331
"31107"	"tt0031647"	"movie"	"Midnight"	"Midnight"	0	1939	"\N"	"94"	"Comedy,Romance"	7.9	4049
"31138"	"tt0031678"	"movie"	"Mr. Moto's Last Warning"	"Mr. Moto's Last Warning"	0	1939	"\N"	"71"	"Crime,Drama,Mystery"	6.6	1079
"31139"	"tt0031679"	"movie"	"Mr. Smith Goes to Washington"	"Mr. Smith Goes to Washington"	0	1939	"\N"	"129"	"Comedy,Drama"	8.2	97539
"31182"	"tt0031725"	"movie"	"Ninotchka"	"Ninotchka"	0	1939	"\N"	"110"	"Comedy,Romance"	8	17087
"31199"	"tt0031742"	"movie"	"Of Mice and Men"	"Of Mice and Men"	0	1939	"\N"	"106"	"Drama"	7.8	4963
"31204"	"tt0031747"	"movie"	"The Oklahoma Kid"	"The Oklahoma Kid"	0	1939	"\N"	"85"	"Action,Adventure,History"	6.5	1843
"31207"	"tt0031750"	"movie"	"The Old Maid"	"The Old Maid"	0	1939	"\N"	"95"	"Drama"	7.7	2815
"31211"	"tt0031754"	"movie"	"On Borrowed Time"	"On Borrowed Time"	0	1939	"\N"	"99"	"Drama,Fantasy"	7.8	1641
"31219"	"tt0031762"	"movie"	"Only Angels Have Wings"	"Only Angels Have Wings"	0	1939	"\N"	"121"	"Adventure,Drama,Romance"	7.7	10895
"31282"	"tt0031826"	"movie"	"The Private Lives of Elizabeth and Essex"	"The Private Lives of Elizabeth and Essex"	0	1939	"\N"	"106"	"Biography,Drama,History"	7.2	4533
"31290"	"tt0031835"	"movie"	"The Rains Came"	"The Rains Came"	0	1939	"\N"	"103"	"Adventure,Drama,Romance"	7	1661
"31305"	"tt0031851"	"movie"	"The Return of Doctor X"	"The Return of Doctor X"	0	1939	"\N"	"62"	"Horror,Mystery,Sci-Fi"	5.8	1660
"31321"	"tt0031867"	"movie"	"The Roaring Twenties"	"The Roaring Twenties"	0	1939	"\N"	"106"	"Action,Crime,Drama"	7.9	11280
"31339"	"tt0031885"	"movie"	"The Rules of the Game"	"La règle du jeu"	0	1939	"\N"	"110"	"Comedy,Drama"	8.1	24106
"31404"	"tt0031951"	"movie"	"Son of Frankenstein"	"Son of Frankenstein"	0	1939	"\N"	"99"	"Drama,Horror,Sci-Fi"	7.2	7973
"31421"	"tt0031968"	"movie"	"The Spy in Black"	"The Spy in Black"	0	1939	"\N"	"82"	"Thriller,War"	7	1718
"31424"	"tt0031971"	"movie"	"Stagecoach"	"Stagecoach"	0	1939	"\N"	"96"	"Adventure,Drama,Western"	7.9	37756
"31426"	"tt0031973"	"movie"	"Stanley and Livingstone"	"Stanley and Livingstone"	0	1939	"\N"	"101"	"Adventure,Drama,History"	7.1	1144
"31436"	"tt0031983"	"movie"	"The Story of Vernon and Irene Castle"	"The Story of Vernon and Irene Castle"	0	1939	"\N"	"93"	"Biography,Drama,Musical"	7	2076
"31457"	"tt0032007"	"movie"	"Tarzan Finds a Son!"	"Tarzan Finds a Son!"	0	1939	"\N"	"82"	"Action,Adventure,Family"	6.9	2947
"31472"	"tt0032022"	"movie"	"They Made Me a Criminal"	"They Made Me a Criminal"	0	1939	"\N"	"92"	"Crime,Drama,Film-Noir"	7	1740
"31499"	"tt0032049"	"movie"	"Tower of London"	"Tower of London"	0	1939	"\N"	"92"	"Drama,History"	6.8	1578
"31528"	"tt0032080"	"movie"	"Union Pacific"	"Union Pacific"	0	1939	"\N"	"135"	"Drama,Western"	7.2	2240
"31585"	"tt0032138"	"movie"	"The Wizard of Oz"	"The Wizard of Oz"	0	1939	"\N"	"102"	"Adventure,Family,Fantasy"	8	349571
"31590"	"tt0032143"	"movie"	"The Women"	"The Women"	0	1939	"\N"	"133"	"Comedy,Drama"	8	11389
